Page Name,Codename,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-15 0:00:00,Yes,0,0.00%,1,7,600.00%,NA,3,0,4,4,0,0,0,0,0,0,0,NA,1,7,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-16 0:00:00,Yes,0,0.00%,4,19,171.43%,NA,3,0,16,16,0,0,0,0,0,0,0,NA,2,12,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,7,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-17 0:00:00,Yes,0,0.00%,2,16,-15.79%,NA,3,0,13,13,0,0,0,0,0,0,0,NA,2,16,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-18 0:00:00,Yes,0,0.00%,1,6,-62.50%,NA,2,2,2,2,0,0,0,0,0,0,0,NA,1,6,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-19 0:00:00,Yes,0,0.00%,1,5,-16.67%,NA,2,0,3,3,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,5,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-20 0:00:00,Yes,0,0.00%,1,2,-60.00%,NA,0,0,2,2,0,0,0,0,0,0,0,NA,1,2,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-26 0:00:00,Yes,0,0.00%,1,3,50.00%,NA,0,0,3,3,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,3,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-27 0:00:00,Yes,0,0.00%,3,7,133.33%,NA,0,1,6,6,0,0,0,0,0,0,0,NA,3,7,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-29 0:00:00,Yes,0,0.00%,1,2,-71.43%,NA,1,0,1,1,0,0,0,0,0,0,0,NA,1,2,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-30 0:00:00,Yes,0,0.00%,1,3,50.00%,NA,0,0,3,3,0,0,0,0,0,0,0,NA,1,3,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-02 0:00:00,Yes,0,0.00%,1,6,100.00%,NA,5,0,1,1,0,0,0,0,0,0,0,NA,0,0,NA,1,6,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-10 0:00:00,Yes,0,0.00%,2,94,1466.67%,NA,13,50,31,31,0,0,0,0,0,1,89,0.00%,0,0,NA,1,5,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-12 0:00:00,Yes,0,0.00%,1,26,-72.34%,NA,0,9,17,17,0,0,0,0,0,0,0,NA,0,0,NA,1,26,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-13 0:00:00,Yes,0,0.00%,1,41,57.69%,NA,4,18,19,19,0,0,0,0,0,1,41,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-14 0:00:00,Yes,0,0.00%,1,6,-85.37%,NA,4,0,2,2,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,6,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-20 0:00:00,Yes,0,0.00%,1,1,-83.33%,NA,0,0,1,1,0,0,0,0,0,0,0,NA,1,1,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-21 0:00:00,Yes,0,0.00%,2,9,800.00%,NA,3,0,6,6,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,9,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-22 0:00:00,Yes,0,0.00%,1,16,77.78%,NA,6,0,10,10,0,0,0,0,0,0,0,NA,0,0,NA,1,16,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-24 0:00:00,Yes,0,0.00%,1,10,-37.50%,NA,3,0,7,7,0,0,0,0,0,0,0,NA,0,0,NA,1,10,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-25 0:00:00,Yes,0,0.00%,1,7,-30.00%,NA,4,0,3,3,0,0,0,0,0,0,0,NA,1,7,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-26 0:00:00,Yes,0,0.00%,2,6,-14.29%,NA,2,0,4,4,0,0,0,0,0,0,0,NA,2,6,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-27 0:00:00,Yes,0,0.00%,1,2,-66.67%,NA,0,0,2,2,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,2,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-05-31 0:00:00,Yes,0,0.00%,2,3,50.00%,NA,1,0,2,2,0,0,0,0,0,0,0,NA,1,2,0.00%,1,1,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-01 0:00:00,Yes,0,0.00%,2,9,200.00%,NA,7,0,2,2,0,0,0,0,0,0,0,NA,2,9,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-02 0:00:00,Yes,0,0.00%,2,6,-33.33%,NA,3,0,3,3,0,0,0,0,0,0,0,NA,2,6,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-03 0:00:00,Yes,0,0.00%,2,5,-16.67%,NA,1,0,4,4,0,0,0,0,0,0,0,NA,2,5,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-04 0:00:00,Yes,0,0.00%,1,3,-40.00%,NA,1,0,2,2,0,0,0,0,0,0,0,NA,1,3,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-07 0:00:00,Yes,0,0.00%,3,23,666.67%,NA,6,1,16,16,0,0,0,0,0,0,0,NA,2,7,0.00%,1,16,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-08 0:00:00,Yes,0,0.00%,2,4,-82.61%,NA,0,0,4,4,0,0,0,0,0,0,0,NA,2,4,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-11 0:00:00,Yes,0,0.00%,1,117,2825.00%,NA,4,70,43,43,0,0,0,0,0,1,117,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-13 0:00:00,Yes,0,0.00%,3,13,-88.89%,NA,2,0,11,11,0,0,0,0,0,0,0,NA,1,6,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,7,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-14 0:00:00,Yes,0,0.00%,1,5,-61.54%,NA,0,0,5,5,0,0,0,0,0,0,0,NA,1,5,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-16 0:00:00,Yes,0,0.00%,1,29,480.00%,NA,6,9,14,14,0,0,0,0,0,1,29,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-20 0:00:00,Yes,0,0.00%,2,4,-86.21%,NA,3,0,1,1,0,0,0,0,0,0,0,NA,2,4,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-21 0:00:00,Yes,0,0.00%,2,6,50.00%,NA,3,0,3,3,0,0,0,0,0,0,0,NA,2,6,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-06-22 0:00:00,Yes,0,0.00%,2,3,-50.00%,NA,1,0,2,2,0,0,0,0,0,0,0,NA,2,3,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
